timestamp,machine_id,operation_id,energy_kWh,voltage_V,current_A,power_factor,reactive_power_kVAR,frequency_Hz,machine_utilization_%,production_output_units,operator_count,material_usage_kg,ambient_temp_C,humidity_%,shift_type,production_mode,forecast_energy_kWh,energy_state,allocation_recommendation
2025-07-01 04:05:00,MCH_1,OP_02,11.58,406.41,28.49,0.947,3.9,50.07,69.74,104,4,34.27,21.64,41.28,Night,Setup,13.21,High,Reduce Load
2025-07-01 04:10:00,MCH_1,OP_09,11.79,405.75,29.07,0.949,4.25,49.87,79.04,114,2,57.4,31.19,41.17,Day,Setup,11.94,High,Reduce Load
2025-07-01 04:15:00,MCH_1,OP_05,13.03,408.67,31.89,0.977,2.37,50.04,67.25,103,4,48.72,31.89,48.34,Night,Idle,12.95,High,Reduce Load
2025-07-01 04:20:00,MCH_1,OP_06,12.51,408.69,30.6,0.856,3.91,50.06,94.89,110,2,50.51,32.01,53.77,Day,Maintenance,11.01,High,Reduce Load
2025-07-01 04:25:00,MCH_1,OP_01,12.73,398.8,31.93,0.929,3.7,49.88,62.37,104,4,51.55,30.35,56.96,Day,Maintenance,12.38,High,Reduce Load
2025-07-01 04:30:00,MCH_1,OP_03,12.05,404.62,29.79,0.854,4.3,50.14,87.9,86,4,46.04,28.14,60.94,Day,Maintenance,11.11,High,Reduce Load
2025-07-01 04:35:00,MCH_1,OP_05,11.15,392.22,28.44,0.927,2.29,49.97,80.72,87,3,56.06,21.72,59.81,Day,Setup,10.57,High,Reduce Load
2025-07-01 04:40:00,MCH_1,OP_10,12.52,402.71,31.08,0.942,2.27,50.11,70.39,90,2,31.53,30.69,64.8,Night,Production,11.25,High,Reduce Load
2025-07-01 04:45:00,MCH_1,OP_01,12.58,399.05,31.54,0.938,3.63,49.86,90.01,93,3,57.14,28.8,50.42,Day,Idle,14.08,High,Reduce Load
2025-07-01 04:50:00,MCH_1,OP_10,12.44,402.48,30.91,0.972,4.55,49.94,70.47,101,2,42.5,30.89,56.19,Day,Setup,13.52,High,Reduce Load
2025-07-01 04:55:00,MCH_1,OP_10,12.32,402.4,30.62,0.975,4.85,49.92,75.42,97,4,51.67,33.71,43.34,Night,Setup,10.16,High,Reduce Load
2025-07-01 05:00:00,MCH_1,OP_09,11.72,394.92,29.68,0.947,4.1,49.92,70.05,97,3,37.83,32.66,41.91,Night,Production,11.43,High,Reduce Load
2025-07-01 05:05:00,MCH_1,OP_01,12.54,402.86,31.13,0.976,4.81,49.87,89.35,97,3,39.78,22.45,44.49,Night,Setup,11.11,High,Reduce Load
2025-07-01 05:10:00,MCH_1,OP_03,11.45,395.52,28.95,0.918,3.77,49.79,66.69,95,4,46.12,28.92,59.29,Day,Setup,10.38,High,Reduce Load
2025-07-01 05:15:00,MCH_1,OP_07,14.27,399.3,35.73,0.871,2.99,50.15,63.1,96,3,32.7,31.46,40.32,Day,Idle,15.57,High,Reduce Load
2025-07-01 05:20:00,MCH_1,OP_01,12.02,395.05,30.44,0.949,3.85,50.02,72.92,109,3,39.64,20.92,46.93,Night,Production,11.6,High,Reduce Load
2025-07-01 05:25:00,MCH_1,OP_04,12.25,400.81,30.57,0.862,2.85,50.01,68.5,118,3,32.06,31.51,62.29,Night,Idle,12.9,High,Reduce Load
2025-07-01 05:30:00,MCH_1,OP_03,12.69,392.86,32.3,0.918,4.11,50.04,91.27,96,4,38.11,22.14,57.68,Night,Setup,13.13,High,Reduce Load
2025-07-01 05:35:00,MCH_1,OP_03,12.53,413.56,30.3,0.871,4.61,50.09,72.31,87,2,43.54,24.4,50.92,Day,Setup,11.06,High,Reduce Load
2025-07-01 05:40:00,MCH_1,OP_04,13.2,398.63,33.11,0.945,2.45,49.89,68.67,113,4,31.28,21.86,54.53,Night,Maintenance,14.28,High,Reduce Load
2025-07-01 05:45:00,MCH_1,OP_03,12.6,399.58,31.53,0.967,3.69,49.95,63.31,107,3,49.57,29.31,42.91,Night,Idle,12.71,High,Reduce Load
2025-07-01 05:50:00,MCH_1,OP_09,11.94,405.61,29.43,0.962,4.0,49.92,67.06,95,2,42.23,30.32,42.36,Day,Idle,13.02,High,Reduce Load
2025-07-01 05:55:00,MCH_1,OP_08,11.48,401.16,28.62,0.866,4.66,50.13,90.1,94,4,53.72,23.25,58.89,Night,Maintenance,11.56,High,Reduce Load
2025-07-01 06:00:00,MCH_1,OP_08,12.28,410.02,29.96,0.892,3.43,49.86,69.08,120,4,59.37,20.12,59.72,Night,Maintenance,13.32,High,Reduce Load
2025-07-01 06:05:00,MCH_1,OP_06,13.01,404.52,32.17,0.913,3.76,49.9,70.82,117,3,39.94,23.21,68.3,Night,Maintenance,13.18,High,Reduce Load
2025-07-01 06:10:00,MCH_1,OP_01,12.69,402.18,31.56,0.887,2.66,50.11,89.17,100,2,30.53,21.94,67.87,Night,Idle,13.49,High,Reduce Load
2025-07-01 06:15:00,MCH_1,OP_02,10.83,402.17,26.93,0.861,2.45,50.06,86.61,112,2,51.26,20.37,41.85,Night,Production,11.12,High,Reduce Load
2025-07-01 06:20:00,MCH_1,OP_03,11.6,401.86,28.88,0.866,2.93,49.97,68.11,95,4,59.21,26.16,59.88,Day,Setup,12.69,High,Reduce Load
2025-07-01 06:25:00,MCH_1,OP_06,12.81,404.21,31.7,0.891,4.07,49.75,65.09,88,4,40.7,22.36,45.38,Night,Maintenance,12.08,High,Reduce Load
2025-07-01 06:30:00,MCH_1,OP_03,13.17,392.74,33.53,0.936,4.6,49.81,78.56,89,4,45.44,27.99,59.71,Day,Production,13.06,High,Reduce Load
2025-07-01 06:35:00,MCH_1,OP_10,12.82,392.04,32.7,0.879,3.43,49.94,73.85,110,3,47.17,20.69,69.98,Day,Production,11.47,High,Reduce Load
2025-07-01 06:40:00,MCH_1,OP_04,11.07,402.28,27.52,0.895,4.68,49.88,76.45,92,4,38.45,26.73,60.35,Night,Production,10.11,High,Reduce Load
2025-07-01 06:45:00,MCH_1,OP_10,11.18,403.29,27.72,0.933,4.67,50.18,65.05,82,4,52.18,30.86,59.55,Night,Idle,11.69,High,Reduce Load
2025-07-01 06:50:00,MCH_1,OP_08,12.06,403.23,29.92,0.923,3.07,49.82,88.28,111,4,50.88,28.23,45.57,Night,Maintenance,13.77,High,Reduce Load
2025-07-01 06:55:00,MCH_1,OP_04,11.84,396.33,29.88,0.975,4.18,50.04,64.39,116,4,44.38,34.45,60.24,Day,Production,9.93,High,Reduce Load
2025-07-01 07:00:00,MCH_1,OP_07,11.89,398.57,29.84,0.97,3.55,50.28,62.22,77,3,53.2,28.69,53.26,Night,Maintenance,10.52,High,Reduce Load
2025-07-01 07:05:00,MCH_1,OP_07,12.25,404.14,30.31,0.863,2.09,49.83,94.18,72,2,37.11,28.74,46.33,Night,Setup,12.35,High,Reduce Load
2025-07-01 07:10:00,MCH_1,OP_04,12.06,398.02,30.3,0.976,4.95,50.04,70.45,95,4,33.63,23.48,63.9,Night,Production,12.7,High,Reduce Load
2025-07-01 07:15:00,MCH_1,OP_05,11.74,399.93,29.36,0.934,4.19,50.07,65.47,113,2,31.28,22.97,48.9,Night,Idle,12.6,High,Reduce Load
2025-07-01 07:20:00,MCH_1,OP_02,12.01,403.45,29.76,0.97,3.25,49.87,61.84,89,2,45.55,31.87,46.08,Day,Setup,10.84,High,Reduce Load
2025-07-01 07:25:00,MCH_1,OP_05,12.94,395.54,32.71,0.929,2.23,49.93,78.06,97,3,47.96,21.77,49.42,Night,Maintenance,12.19,High,Reduce Load
2025-07-01 07:30:00,MCH_1,OP_02,11.19,408.96,27.37,0.92,4.9,50.21,72.83,107,3,58.14,24.73,58.86,Night,Setup,11.62,High,Reduce Load
2025-07-01 07:35:00,MCH_1,OP_04,11.23,397.04,28.27,0.966,3.02,49.91,63.27,94,2,44.06,20.94,59.83,Day,Maintenance,10.84,High,Reduce Load
2025-07-01 07:40:00,MCH_1,OP_07,10.68,395.78,26.99,0.914,3.02,49.96,91.27,107,2,45.38,30.24,59.11,Night,Production,10.8,High,Reduce Load
2025-07-01 07:45:00,MCH_1,OP_08,11.34,395.56,28.67,0.886,4.83,50.05,87.68,110,4,35.01,25.2,53.32,Night,Production,10.49,High,Reduce Load
2025-07-01 07:50:00,MCH_1,OP_09,11.68,402.18,29.04,0.975,3.99,49.99,69.41,101,2,47.19,21.49,54.07,Night,Maintenance,10.43,High,Reduce Load
2025-07-01 07:55:00,MCH_1,OP_05,12.05,405.74,29.7,0.936,2.31,50.1,85.54,99,3,37.56,24.81,65.08,Night,Idle,14.05,High,Reduce Load
2025-07-01 08:00:00,MCH_1,OP_09,12.57,395.52,31.79,0.897,2.01,49.99,89.78,106,4,30.24,20.29,63.65,Day,Idle,12.62,High,Reduce Load
2025-07-01 08:05:00,MCH_1,OP_05,12.01,402.86,29.82,0.954,3.23,49.85,78.06,107,4,42.39,24.28,50.85,Day,Setup,12.26,High,Reduce Load
2025-07-01 08:10:00,MCH_1,OP_02,10.69,398.83,26.8,0.862,2.03,49.92,75.28,101,4,51.26,28.37,42.54,Night,Maintenance,10.64,High,Reduce Load
2025-07-01 08:15:00,MCH_1,OP_06,11.84,409.48,28.91,0.966,4.33,49.93,68.76,107,2,51.37,34.82,48.18,Day,Setup,11.92,High,Reduce Load
2025-07-01 08:20:00,MCH_1,OP_03,11.5,402.79,28.54,0.894,4.05,50.1,85.15,96,2,47.86,27.19,47.73,Night,Setup,12.93,High,Reduce Load
2025-07-01 08:25:00,MCH_1,OP_05,11.18,399.92,27.97,0.974,4.8,50.09,88.53,108,4,51.33,29.86,67.38,Night,Production,11.45,High,Reduce Load
2025-07-01 08:30:00,MCH_1,OP_01,10.95,407.69,26.86,0.877,2.54,50.08,84.1,104,4,48.79,32.04,56.57,Day,Production,9.49,High,Reduce Load
2025-07-01 08:35:00,MCH_1,OP_06,11.1,390.59,28.42,0.937,3.99,50.02,93.34,97,4,42.83,30.44,68.83,Day,Maintenance,11.43,High,Reduce Load
2025-07-01 08:40:00,MCH_1,OP_07,12.09,402.86,30.01,0.912,3.61,50.02,92.74,96,3,41.36,27.7,58.19,Night,Idle,11.99,High,Reduce Load
2025-07-01 08:45:00,MCH_1,OP_03,11.69,404.39,28.9,0.913,4.49,50.07,91.64,91,4,53.77,24.78,51.6,Day,Production,11.71,High,Reduce Load
2025-07-01 08:50:00,MCH_1,OP_02,11.32,393.72,28.75,0.96,2.42,49.78,92.78,114,4,58.96,26.31,53.66,Night,Setup,10.81,High,Reduce Load
2025-07-01 08:55:00,MCH_1,OP_01,10.77,402.42,26.75,0.885,4.61,49.98,81.42,106,4,45.93,24.36,50.54,Day,Setup,10.47,High,Reduce Load
2025-07-01 09:00:00,MCH_1,OP_03,11.16,400.62,27.85,0.904,3.09,50.09,70.77,82,4,35.02,32.49,58.97,Day,Idle,10.66,High,Reduce Load
2025-07-01 09:05:00,MCH_1,OP_04,10.59,401.54,26.37,0.959,4.21,50.05,78.44,101,3,59.11,20.42,49.9,Day,Setup,10.78,High,Reduce Load
2025-07-01 09:10:00,MCH_1,OP_08,10.44,403.39,25.88,0.958,2.86,50.05,80.36,102,2,59.15,29.53,67.52,Night,Setup,10.12,High,Reduce Load
2025-07-01 09:15:00,MCH_1,OP_04,10.98,399.47,27.49,0.92,4.09,49.99,94.67,108,2,52.79,28.91,59.43,Day,Maintenance,10.22,High,Reduce Load
2025-07-01 09:20:00,MCH_1,OP_05,10.84,394.89,27.45,0.897,4.44,49.89,70.37,85,4,51.7,24.01,42.36,Day,Setup,11.89,High,Reduce Load
2025-07-01 09:25:00,MCH_1,OP_06,10.93,396.09,27.6,0.903,2.1,50.14,77.62,94,4,50.31,28.59,46.36,Day,Idle,12.35,High,Reduce Load
2025-07-01 09:30:00,MCH_1,OP_01,10.62,405.28,26.21,0.95,4.2,49.93,64.15,102,4,58.11,30.54,52.35,Day,Setup,11.08,High,Reduce Load
2025-07-01 09:35:00,MCH_1,OP_07,11.1,404.27,27.46,0.896,2.13,49.66,87.86,96,2,50.26,25.55,44.45,Day,Production,13.08,High,Reduce Load
2025-07-01 09:40:00,MCH_1,OP_05,10.89,392.84,27.72,0.89,4.91,49.93,79.13,110,4,30.54,25.65,50.64,Night,Setup,9.53,High,Reduce Load
2025-07-01 09:45:00,MCH_1,OP_03,10.52,398.19,26.41,0.979,3.57,50.1,87.85,99,4,40.1,21.15,67.92,Night,Maintenance,9.79,High,Reduce Load
2025-07-01 09:50:00,MCH_1,OP_08,9.96,403.31,24.71,0.852,4.83,49.98,88.87,98,4,57.6,33.12,62.07,Day,Idle,10.45,Normal,Maintain
2025-07-01 09:55:00,MCH_1,OP_09,11.11,398.89,27.86,0.977,3.13,49.99,65.61,93,3,46.61,26.11,56.39,Day,Maintenance,11.36,High,Reduce Load
2025-07-01 10:00:00,MCH_1,OP_07,9.61,400.58,23.99,0.949,4.14,50.04,81.5,103,4,52.16,27.61,43.37,Day,Idle,9.97,Normal,Maintain
2025-07-01 10:05:00,MCH_1,OP_03,9.4,405.64,23.17,0.873,2.29,50.3,91.58,97,4,33.86,29.47,41.04,Night,Idle,9.5,Normal,Maintain
2025-07-01 10:10:00,MCH_1,OP_02,10.85,395.32,27.44,0.944,4.31,49.94,91.14,103,3,42.42,21.39,61.51,Night,Setup,11.45,High,Reduce Load
2025-07-01 10:15:00,MCH_1,OP_06,11.01,392.34,28.06,0.882,2.92,49.96,61.22,115,2,33.05,24.59,50.33,Night,Production,11.23,High,Reduce Load
2025-07-01 10:20:00,MCH_1,OP_09,10.01,402.38,24.89,0.938,2.7,49.92,68.13,93,3,38.46,23.89,44.53,Night,Production,10.75,High,Reduce Load
2025-07-01 10:25:00,MCH_1,OP_01,10.57,397.31,26.6,0.864,2.55,50.11,70.69,99,2,56.79,20.54,47.53,Night,Maintenance,9.99,High,Reduce Load
2025-07-01 10:30:00,MCH_1,OP_06,10.42,392.52,26.54,0.948,4.69,50.05,72.27,118,3,40.43,22.82,69.07,Night,Setup,10.51,High,Reduce Load
2025-07-01 10:35:00,MCH_1,OP_09,9.02,394.96,22.83,0.959,4.28,49.78,76.92,85,3,40.23,32.97,61.15,Day,Maintenance,8.27,Normal,Maintain
2025-07-01 10:40:00,MCH_1,OP_05,10.26,407.35,25.18,0.906,2.1,50.06,64.99,107,3,47.62,26.38,51.86,Night,Maintenance,11.15,High,Reduce Load
2025-07-01 10:45:00,MCH_1,OP_02,9.33,401.37,23.25,0.947,3.72,49.83,76.69,88,4,49.85,27.54,67.49,Day,Idle,9.91,Normal,Maintain
2025-07-01 10:50:00,MCH_1,OP_08,10.45,409.42,25.53,0.887,3.02,49.92,82.77,115,3,49.19,20.79,69.42,Night,Maintenance,12.52,High,Reduce Load
2025-07-01 10:55:00,MCH_1,OP_05,10.59,400.21,26.46,0.872,3.57,50.11,68.61,104,2,44.36,27.57,48.38,Night,Setup,10.58,High,Reduce Load
2025-07-01 11:00:00,MCH_1,OP_10,9.62,399.42,24.08,0.89,3.39,49.87,68.39,92,4,32.86,21.83,56.57,Night,Production,10.77,Normal,Maintain
2025-07-01 11:05:00,MCH_1,OP_07,9.9,406.71,24.33,0.954,4.71,50.01,67.01,105,3,32.91,21.71,43.07,Day,Production,8.97,Normal,Maintain
2025-07-01 11:10:00,MCH_1,OP_04,9.61,400.14,24.03,0.968,4.97,50.08,82.93,86,3,52.51,34.88,69.21,Day,Idle,9.88,Normal,Maintain
2025-07-01 11:15:00,MCH_1,OP_01,9.88,393.81,25.08,0.895,3.36,49.85,87.35,99,4,41.33,27.68,46.35,Night,Production,10.39,Normal,Maintain
2025-07-01 11:20:00,MCH_1,OP_09,8.91,400.3,22.25,0.86,3.62,50.03,89.1,112,2,49.64,32.56,54.5,Night,Maintenance,11.22,Normal,Maintain
2025-07-01 11:25:00,MCH_1,OP_07,9.99,401.08,24.9,0.878,3.12,49.91,62.23,93,3,34.97,29.77,53.72,Night,Maintenance,9.14,Normal,Maintain
2025-07-01 11:30:00,MCH_1,OP_09,9.36,399.02,23.47,0.861,2.41,50.03,84.28,106,3,41.43,22.98,45.0,Day,Setup,9.67,Normal,Maintain
2025-07-01 11:35:00,MCH_1,OP_10,8.82,405.49,21.76,0.973,2.48,49.82,88.19,96,2,38.16,23.39,59.71,Day,Setup,9.53,Normal,Maintain
2025-07-01 11:40:00,MCH_1,OP_09,9.45,403.29,23.44,0.974,2.42,49.98,60.11,118,2,36.49,25.4,69.39,Night,Setup,10.14,Normal,Maintain
2025-07-01 11:45:00,MCH_1,OP_03,9.31,397.79,23.4,0.859,2.95,49.99,87.84,89,3,54.51,29.33,42.45,Night,Setup,8.57,Normal,Maintain
2025-07-01 11:50:00,MCH_1,OP_01,9.58,398.26,24.05,0.881,3.44,49.89,73.92,109,4,55.62,25.03,50.36,Day,Maintenance,8.22,Normal,Maintain
2025-07-01 11:55:00,MCH_1,OP_01,9.12,399.54,22.83,0.853,4.89,49.9,92.09,108,3,43.25,23.13,42.62,Night,Idle,11.04,Normal,Maintain
2025-07-01 12:00:00,MCH_1,OP_08,9.04,404.76,22.34,0.892,3.88,50.01,84.39,101,4,38.97,28.36,44.55,Night,Setup,8.97,Normal,Maintain
2025-07-01 12:05:00,MCH_1,OP_10,8.75,407.94,21.46,0.893,4.12,49.92,94.36,115,2,53.26,32.67,45.33,Night,Setup,8.32,Normal,Maintain
2025-07-01 12:10:00,MCH_1,OP_02,8.64,391.94,22.03,0.887,4.35,50.08,89.67,81,2,54.64,29.33,60.47,Day,Maintenance,10.0,Normal,Maintain
2025-07-01 12:15:00,MCH_1,OP_09,10.28,404.45,25.41,0.874,4.7,49.93,83.24,101,2,30.28,29.06,47.73,Night,Production,9.7,High,Reduce Load
2025-07-01 12:20:00,MCH_1,OP_09,9.56,398.03,24.02,0.938,2.44,50.03,80.29,96,3,49.93,34.04,66.53,Night,Production,11.1,Normal,Maintain
2025-07-01 12:25:00,MCH_1,OP_07,9.34,398.4,23.44,0.938,4.41,49.91,66.33,104,2,50.42,30.44,69.44,Day,Idle,9.26,Normal,Maintain
2025-07-01 12:30:00,MCH_1,OP_04,8.34,394.43,21.15,0.928,2.77,50.06,93.5,105,4,50.81,30.83,69.34,Day,Maintenance,7.45,Normal,Maintain
2025-07-01 12:35:00,MCH_1,OP_08,8.92,395.26,22.56,0.941,4.98,49.95,86.05,101,2,44.34,28.88,49.67,Day,Production,9.05,Normal,Maintain
2025-07-01 12:40:00,MCH_1,OP_07,10.02,393.13,25.49,0.865,3.73,50.17,65.6,104,3,59.52,23.77,43.48,Night,Maintenance,10.24,High,Reduce Load
2025-07-01 12:45:00,MCH_1,OP_04,8.25,403.68,20.43,0.91,2.59,49.92,85.16,85,4,59.13,28.44,52.03,Day,Idle,7.29,Normal,Maintain
2025-07-01 12:50:00,MCH_1,OP_02,8.54,413.47,20.66,0.853,2.17,50.05,61.31,91,4,38.29,32.28,50.18,Day,Maintenance,9.91,Normal,Maintain
